時刻,右目x座標,右目y座標,左目x座標,左目y座標,右目瞳孔径,左目瞳孔径,右目TorF,左目TorF
42:16.9,0.283170462,0.153434619,0.269674569,0.154187843,2.7837677,2.631195068,TRUE,TRUE
42:16.9,0.283170462,0.153434619,0.269674569,0.154187843,2.7837677,2.631195068,TRUE,TRUE
42:17.0,0.283190161,0.149893567,0.27026999,0.148819,2.805999756,2.654037476,TRUE,TRUE
42:17.0,0.283190161,0.149893567,0.27026999,0.148819,2.805999756,2.654037476,TRUE,TRUE
42:17.0,0.283190161,0.149893567,0.27026999,0.148819,2.805999756,2.654037476,TRUE,TRUE
42:17.0,0.281235307,0.149559021,0.270367682,0.150757134,2.808074951,2.66746521,TRUE,TRUE
42:17.0,0.281235307,0.149559021,0.270367682,0.150757134,2.808074951,2.66746521,TRUE,TRUE
42:17.0,0.281235307,0.149559021,0.270367682,0.150757134,2.808074951,2.66746521,TRUE,TRUE
2021/5/10 18:42,0.282003939,0.150495797,0.269839495,0.155911013,2.824356079,2.671127319,TRUE,TRUE
2021/5/10 18:42,0.282003939,0.150495797,0.269839495,0.155911013,2.824356079,2.671127319,TRUE,TRUE
2021/5/10 18:42,0.282003939,0.150495797,0.269839495,0.155911013,2.824356079,2.671127319,TRUE,TRUE
42:17.0,0.283987373,0.150600657,0.270676672,0.158069566,2.82901001,2.679550171,TRUE,TRUE
42:17.0,0.283987373,0.150600657,0.270676672,0.158069566,2.82901001,2.679550171,TRUE,TRUE
42:17.0,0.283987373,0.150600657,0.270676672,0.158069566,2.82901001,2.679550171,TRUE,TRUE
42:17.0,0.283285439,0.149393335,0.270793229,0.156562909,2.848449707,2.682540894,TRUE,TRUE
42:17.0,0.283285439,0.149393335,0.270793229,0.156562909,2.848449707,2.682540894,TRUE,TRUE
42:17.0,0.283285439,0.149393335,0.270793229,0.156562909,2.848449707,2.682540894,TRUE,TRUE
42:17.0,0.282689244,0.15259932,0.272577196,0.15361622,2.864608765,2.698577881,TRUE,TRUE
